HB030,HB030_new
108673,10867300
108674,10867400
108675,10867500
108676,10867600
108677,10867700
108680,10868000
108681,10868100
108682,10868200
108683,10868300
108684,10868400
108686,10868600
108687,10868700
108689,10868900
108691,10869100
108694,10869400
108695,10869500
108696,10869600
108697,10869700
108698,10869800
108700,10870000
108703,10870300
108704,10870400
108706,10870600
108707,10870700
108712,10871200
108713,10871300
108714,10871400
108715,10871500
108716,10871600
108717,10871700
108721,10872100
108723,10872300
108724,10872400
108725,10872500
108726,10872600
108727,10872700
108728,10872800
108731,10873100
108735,10873500
108737,10873700
108738,10873800
108739,10873900
108740,10874000
108742,10874200
108744,10874400
108746,10874600
108748,10874800
108750,10875000
108751,10875100
108752,10875200
108753,10875300
108754,10875400
108756,10875600
108761,10876100
108766,10876600
108770,10877000
108771,10877100
108772,10877200
108773,10877300
108775,10877500
108777,10877700
108779,10877900
108780,10878000
108782,10878200
108785,10878500
108792,10879200
108797,10879700
108798,10879800
108799,10879900
108800,10880000
108801,10880100
108802,10880200
108803,10880300
108804,10880400
108806,10880600
108808,10880800
108809,10880900
108814,10881400
108817,10881700
108818,10881800
108819,10881900
108820,10882000
108822,10882200
108825,10882500
108826,10882600
108829,10882900
108830,10883000
108832,10883200
108834,10883400
108835,10883500
108839,10883900
108840,10884000
108842,10884200
108843,10884300
108849,10884900
108852,10885200
108854,10885400
108855,10885500
108856,10885600
108857,10885700
108859,10885900
108861,10886100
108862,10886200
108864,10886400
108866,10886600
108867,10886700
108868,10886800
108870,10887000
108871,10887100
108872,10887200
108875,10887500
108877,10887700
108878,10887800
108879,10887900
108880,10888000
108881,10888100
108882,10888200
108883,10888300
108884,10888400
108885,10888500
108886,10888600
108888,10888800
108889,10888900
108890,10889000
108896,10889600
108897,10889700
108899,10889900
108900,10890000
108901,10890100
108902,10890200
108906,10890600
108907,10890700
108908,10890800
108909,10890900
108911,10891100
108912,10891200
108915,10891500
108916,10891600
108919,10891900
108920,10892000
108922,10892200
108923,10892300
108924,10892400
108925,10892500
108926,10892600
108927,10892700
108928,10892800
108929,10892900
108930,10893000
108931,10893100
108932,10893200
108933,10893300
108934,10893400
108935,10893500
108937,10893700
108938,10893800
108939,10893900
108940,10894000
108941,10894100
108942,10894200
108943,10894300
108944,10894400
108945,10894500
108946,10894600
